# Inventario Champanillo → cat|proveedor|producto|unidad_hoja|precio
# cat: P C L Z FV BA BNA PAN PK CF
PK|DISPRONET|HIGIENICO IND. PASTA PURA 2/C XL 143MTS (18R)|PAQ 18 ROLLOS|19.63
PK|DISPRONET|ROLLO PAÑO BAYETA MICROGLASS CON PRECORTE AZUL|ROLLO|18.26
CF|ANMA|CACAO AMARGO POLVO 1Kg C/10|UNIDAD|10.66
CF|ANMA|MIEL FLORES 1KG C/6|UNIDAD|5.05
CF|ANMA|MERMELADA MELOCOTON HELIOS C/8|CAJA|6.80
CF|ANMA|AZÚCAR BLANCA SACO 25Kg|SACO|17.65
CF|ANMA|AZÚCAR GLACE BOLSA 1Kg|UNIDAD|2.93
CF|ANMA|MAICENA 2,500Kg|UNIDAD|13.25
CF|ANMA|COBERTURA EXTRA BLANCA TRAPA 5KG|UNIDAD|63.78
CF|ANMA|COBERTURA EXTRA NEGRA 70% TRAPA 5KG|UNIDAD|81.63
CF|CAFES AGÜERA|AZÚCAR BLANCA BOLSITAS|CAJA|18.90
CF|CAFES AGÜERA|AZÚCAR MORENO 500ud|CAJA|13.55
CF|CAFES AGÜERA|CAFÉ DESC. GRANO|UNIDAD|23.90
CF|CAFES AGÜERA|CAFÉ ESPECIAL|UNIDAD|22.90
CF|CAFES AGÜERA|CAFÉ DESC. SOBRE C/100|CAJA 100ud|10.80
CF|CAFES AGÜERA|EDULCORANTE|CAJA|2.90
CF|CAFES AGÜERA|INFUSIONES|UNIDAD|9.50
CF|CAFES AGÜERA|VASOS CAFÉS C/100|CAJA|5.00
CF|CAFES AGÜERA|TAPAS CAFÉS|CAJA|2.00
CF|CAFES AGÜERA|PORTAVASOS CAFÉS|UNIDAD|0.15
CF|CAFES AGÜERA|COLACAO SOBRE|CAJA|19.90
CF|CAFES AGÜERA|CHOCOLATE TAZA SOBRE C/40|CAJA 40ud|12.90
CF|SERHS, S.L|SAL SOBRE CASTER C/1000|CAJA|3.12
